Taxa,meanLPBL,LPBL_BLUP,meanUPBLog,UPBL_BLUP,meanRL,RL_BLUP,meanRD,RD_BLUP,family_ID
PR1314_2592,116.233333354,24.6425838982766,4.18080734279389,0.258520145991379,337.125,55.7922930607523,10.2083333325,1.8793014367779,SC35
PR1314_2593,76.5416666675,-7.57871814702145,3.85246970246831,0.00331208127900226,281.70833335,2.86706353152376,9.375,0.767365265477503,SC35
PR1314_2594,83.06666666,-2.56121709895754,3.84844531917526,-0.00763416552338569,301.13333332,21.6438253282909,9.3,0.775499244853056,SC35
PR1314_2595,87.5,1.80715462096498,3.9982007016692,0.0325467004714847,316.6666667,28.3265437311771,9.333333333,0.582263862407528,SC35
PR1314_2596,76.541666665,-4.93013726476526,3.69173588964122,-0.0986443738391371,310.33333335,32.3111361515929,8.91666666675,0.792252122896982,SC35
PR1314_2597,71.66666667,-5.74705406585709,3.93508827842429,0.00441903126544716,277,2.96330388464317,9,0.392105787931509,SC35
PR1314_2598,86.758333335,-0.0394054938978824,3.53570622933364,-0.23301775218918,255.33333335,-20.0578212889953,8.91666666725,0.408321940617918,SC35
PR1314_2599,90.16666667,3.07944240165637,4.17438726989564,0.111068760865039,345,46.4431435850209,10.66666667,1.34289616316397,SC35
PR1314_2600,84.166666674,-1.65898047222939,3.72019826985325,-0.110333940739787,300.56666668,21.1345941780264,11.199999998,2.42683238968656,SC35
PR1314_2601,111.055555566667,20.8958198813467,3.80443947598096,0.0127899933995363,322.444444433333,40.9186518367296,8.44444444433333,0.464930522691569,SC35
PR1314_2602,70.27777778,-13.1831252935113,3.76567532739947,-0.0808827277316054,258.041666675,-17.6841429136475,7.95833333325,-0.398198519201361,SC35
PR1314_2603,74.8750000025,-9.3670524792078,3.73621952526571,-0.0800646301463068,261.41666665,-14.7261744894852,9.74999999975,1.109644078402,SC35
PR1314_2604,67.0833333325,-15.0028972009728,3.6430371206757,-0.156444742296091,299.111111133333,15.6990930766493,9.55555555566667,0.833100315786677,SC35
PR1314_2605,89.2916666675,5.07778692269842,4.07444416471045,0.193288513859812,301.666666675,24.715365319805,8.666666666,0.581855480720167,SC35
PR1314_2606,70.4583333325,-12.8338497486973,3.45622626421108,-0.293645695831749,271.41666665,-5.96182353815707,9.33333333425,0.75898301014115,SC35
PR1314_2607,66.33333333,-8.29162962723989,4.03718614844098,0.0499215641554677,255,-11.1037030772437,8.5,0.106868675932245,SC35
PR1314_2608,84.125,-3.02795631235535,3.71804642243771,-0.129771386623722,299.83333334,20.4755891230341,12.2333333332,3.3249258569883,SC35
PR1314_2609,83.126666664,-2.51200418939055,3.96034381422213,0.0819737463086588,271.2,-5.25556256896738,9.8,1.21006059921404,SC35
PR1314_2610,113.11111111,19.1061546466114,4.11772585405353,0.208738109625223,338.666666666667,48.9955458151867,10.2222222233333,1.36601760801568,SC35
PR1314_2611,98.9583333175,9.53680430123766,3.74324802531323,-0.0747032349303488,258.5,-17.2824435023486,10.0416666675,1.35510682778361,SC35
PR1314_2612,91.833333328,4.62933532060479,3.92251759244372,0.0516826441393226,269.76666666,-6.54361789800663,9.4666666674,0.920353030277406,SC35
PR1314_2613,62.833333334,-19.1569027127543,3.79175082510481,-0.0530349121902615,225.23333334,-46.5631972253845,10.3333333334,1.67359271059037,SC35
PR1314_2614,66.83333333,-15.6599335730732,4.15627551990037,0.067117066089241,275.5,-10.1503101713203,13.5,1.91824279408909,SC35
PR1314_2615,55.4444444466667,-19.8353536126975,3.43352813695204,-0.249413250696313,214.666666633333,-49.8048290092965,9.22222222233333,1.08666736287044,SC35
